reviews_id,user_id,lot_id,booking_id,rating,review_text,sentiment_score,created_at
R220,U276,P106,B3678,2,"Narrow entrance, difficult to park.",-0.73,2026-01-10T19:58:00
R221,U280,P132,B1028,4,Clean and well-lit parking area.,0.87,2025-12-10T17:49:00
R222,U162,P132,B5015,4,Clean and well-lit parking area.,0.87,2025-10-11T13:04:00
R223,U289,P129,B2314,1,Price was higher than what was listed.,-0.74,2025-11-16T09:58:00
R224,U146,P105,B4040,5,Clean and well-lit parking area.,0.8,2025-11-22T10:54:00
R225,U251,P103,B2171,4,"Great parking spot, easy to find and secure.",0.81,2025-12-24T10:15:00
R226,U114,P108,B1373,5,Affordable pricing and close to metro station.,0.7,2025-11-11T07:19:00
R227,U264,P114,B712,3,Okay for short-term parking.,0.21,2025-11-25T08:37:00
R228,U129,P125,B1340,4,"Great parking spot, easy to find and secure.",0.64,2025-12-28T21:11:00
R229,U220,P127,B1433,4,Affordable pricing and close to metro station.,0.72,2025-10-28T17:41:00
R230,U198,P127,B592,2,Price was higher than what was listed.,-0.31,2025-11-01T20:41:00
R231,U244,P115,B789,5,Affordable pricing and close to metro station.,0.58,2025-10-16T12:18:00
R232,U133,P115,B1516,3,"Decent parking, nothing special.",-0.04,2025-12-13T03:05:00
R233,U265,P124,B1063,4,Affordable pricing and close to metro station.,0.56,2025-12-27T13:25:00
R234,U112,P108,B2834,3,"Average experience, would use again if nearby.",0.3,2025-12-16T19:21:00
R235,U288,P128,B3582,4,"Owner was helpful, smooth experience overall.",0.57,2025-11-09T04:21:00
R236,U215,P109,B438,5,Affordable pricing and close to metro station.,0.59,2026-01-21T14:36:00
R237,U288,P117,B4961,1,Price was higher than what was listed.,-0.48,2025-10-28T09:49:00
R238,U239,P125,B467,5,Clean and well-lit parking area.,0.84,2026-01-18T09:58:00
R239,U109,P103,B552,5,"Very convenient location, will book again.",0.74,2025-11-16T14:44:00
R240,U241,P114,B1391,5,"Great parking spot, easy to find and secure.",0.94,2026-01-10T15:14:00
R241,U249,P122,B1569,2,Price was higher than what was listed.,-0.88,2025-10-01T21:58:00
R242,U273,P126,B2965,3,"Decent parking, nothing special.",0.15,2025-10-06T19:05:00
R243,U110,P109,B3499,4,"Very convenient location, will book again.",0.77,2025-10-23T10:52:00
R244,U197,P121,B3656,3,"Decent parking, nothing special.",0.03,2025-12-18T12:52:00
R245,U178,P107,B5003,4,Clean and well-lit parking area.,0.9,2025-12-12T19:32:00
R246,U211,P128,B2317,3,"Decent parking, nothing special.",0.12,2025-12-26T19:32:00
R247,U108,P128,B3590,2,Price was higher than what was listed.,-0.75,2025-10-11T04:16:00
R248,U148,P110,B3716,3,"Decent parking, nothing special.",-0.06,2026-01-20T18:10:00
R249,U116,P116,B4158,4,"Great parking spot, easy to find and secure.",0.55,2025-11-22T12:18:00
R250,U259,P102,B3997,5,"Great parking spot, easy to find and secure.",0.9,2025-11-08T09:33:00
R251,U126,P103,B129,3,Okay for short-term parking.,0.0,2025-12-28T05:06:00
R252,U114,P127,B4147,2,Price was higher than what was listed.,-0.36,2025-12-08T14:03:00
R253,U106,P116,B3725,2,"Slot was occupied when I arrived, had to wait.",-0.83,2026-01-15T20:27:00
R254,U135,P109,B4729,3,"Decent parking, nothing special.",0.29,2026-01-01T20:07:00
R255,U184,P122,B3921,3,Okay for short-term parking.,0.23,2026-01-25T20:20:00
R256,U299,P117,B1234,4,"Great parking spot, easy to find and secure.",0.55,2025-11-01T23:19:00
R257,U192,P108,B1201,2,"Poor lighting at night, felt unsafe.",-0.85,2025-10-10T19:12:00
R258,U159,P120,B4788,4,Clean and well-lit parking area.,0.86,2025-12-20T23:50:00
R259,U154,P121,B341,5,"Great parking spot, easy to find and secure.",0.54,2025-12-31T20:33:00
R260,U186,P103,B1150,4,"Very convenient location, will book again.",0.62,2025-11-24T16:56:00
R261,U204,P103,B953,5,Affordable pricing and close to metro station.,0.86,2026-01-16T09:13:00
R262,U198,P130,B4417,4,"Very convenient location, will book again.",0.91,2025-10-13T21:04:00
R263,U218,P105,B2484,5,"Owner was helpful, smooth experience overall.",0.85,2025-12-20T21:01:00
R264,U194,P112,B3438,5,Affordable pricing and close to metro station.,0.9,2025-11-09T11:55:00
R265,U179,P107,B2897,4,"Owner was helpful, smooth experience overall.",0.75,2025-11-11T11:29:00
R266,U214,P126,B2289,5,"Owner was helpful, smooth experience overall.",0.85,2025-10-04T10:45:00
R267,U244,P110,B4825,4,Affordable pricing and close to metro station.,0.65,2026-01-17T18:12:00
R268,U174,P131,B2321,3,Okay for short-term parking.,0.21,2025-10-19T17:23:00
R269,U149,P107,B1789,2,Price was higher than what was listed.,-0.49,2025-11-20T07:11:00
R270,U148,P109,B1215,2,Price was higher than what was listed.,-0.56,2025-11-16T14:16:00
R271,U165,P125,B4627,5,"Great parking spot, easy to find and secure.",0.95,2025-11-26T08:30:00
R272,U219,P122,B3381,5,Affordable pricing and close to metro station.,0.71,2025-11-17T21:26:00
R273,U192,P126,B1454,4,Affordable pricing and close to metro station.,0.78,2025-10-16T20:50:00
R274,U296,P103,B2686,1,Price was higher than what was listed.,-0.59,2025-12-22T22:21:00
R275,U133,P107,B3565,5,"Very convenient location, will book again.",0.62,2025-12-14T22:18:00
R276,U208,P109,B537,4,"Great parking spot, easy to find and secure.",0.65,2026-01-15T19:29:00
R277,U185,P129,B1740,4,"Very convenient location, will book again.",0.94,2025-11-28T04:02:00
R278,U283,P129,B2950,4,"Owner was helpful, smooth experience overall.",0.68,2025-10-10T19:45:00
R279,U257,P116,B4390,4,"Owner was helpful, smooth experience overall.",0.81,2026-01-24T19:16:00
R280,U203,P116,B4814,4,"Owner was helpful, smooth experience overall.",0.76,2025-11-15T22:06:00
R281,U219,P119,B3875,4,"Very convenient location, will book again.",0.9,2025-12-08T06:18:00
R282,U111,P132,B206,5,"Great parking spot, easy to find and secure.",0.84,2025-12-10T22:00:00
R283,U140,P122,B595,4,Affordable pricing and close to metro station.,0.54,2025-10-25T14:27:00
R284,U163,P107,B174,2,"Poor lighting at night, felt unsafe.",-0.69,2025-10-11T19:27:00
R285,U252,P115,B2706,3,"Decent parking, nothing special.",0.18,2025-12-16T17:59:00
R286,U149,P102,B1496,3,"Average experience, would use again if nearby.",-0.04,2026-01-14T13:41:00
R287,U241,P127,B4127,4,"Owner was helpful, smooth experience overall.",0.73,2026-01-13T11:31:00
R288,U215,P121,B3670,4,"Great parking spot, easy to find and secure.",0.64,2025-11-28T19:51:00
R289,U112,P111,B1157,4,"Owner was helpful, smooth experience overall.",0.53,2026-01-15T02:04:00
R290,U215,P116,B3896,4,Clean and well-lit parking area.,0.95,2025-12-26T10:26:00
R291,U258,P113,B3328,5,Affordable pricing and close to metro station.,0.92,2025-12-09T21:06:00
R292,U196,P124,B3307,5,Affordable pricing and close to metro station.,0.84,2025-12-19T10:19:00
R293,U192,P107,B4192,5,Affordable pricing and close to metro station.,0.59,2026-01-28T22:02:00
R294,U112,P110,B4245,4,Affordable pricing and close to metro station.,0.94,2025-11-24T09:06:00
R295,U292,P122,B4696,4,"Owner was helpful, smooth experience overall.",0.78,2025-11-09T21:06:00
R296,U184,P112,B1772,5,Affordable pricing and close to metro station.,0.93,2025-12-16T10:41:00
R297,U176,P132,B4176,4,"Owner was helpful, smooth experience overall.",0.52,2025-11-26T21:26:00
R298,U204,P131,B2913,5,Clean and well-lit parking area.,0.58,2025-11-25T02:57:00
R299,U283,P101,B5063,4,"Very convenient location, will book again.",0.8,2025-10-09T17:46:00
R300,U162,P110,B5097,2,"Poor lighting at night, felt unsafe.",-0.36,2025-11-29T16:55:00
R301,U243,P117,B1274,5,Affordable pricing and close to metro station.,0.58,2025-10-20T22:00:00
R302,U157,P125,B725,1,App showed available but lot was full.,-0.71,2025-11-22T22:11:00
R303,U211,P132,B934,5,"Very convenient location, will book again.",0.76,2026-01-08T21:10:00
R304,U121,P121,B3542,5,"Great parking spot, easy to find and secure.",0.95,2026-01-08T20:17:00
R305,U125,P105,B1280,5,Affordable pricing and close to metro station.,0.86,2026-01-01T13:26:00
R306,U199,P114,B4775,1,"Slot was occupied when I arrived, had to wait.",-0.35,2025-10-29T18:07:00
R307,U260,P110,B1323,3,Okay for short-term parking.,0.17,2026-01-10T15:10:00
R308,U221,P110,B823,5,"Owner was helpful, smooth experience overall.",0.89,2026-01-17T15:54:00
R309,U268,P119,B1264,2,App showed available but lot was full.,-0.6,2026-01-09T06:22:00
R310,U260,P106,B2190,4,Clean and well-lit parking area.,0.56,2025-12-26T17:54:00
R311,U111,P111,B2962,5,"Very convenient location, will book again.",0.82,2025-10-25T21:51:00
R312,U114,P102,B2542,4,"Great parking spot, easy to find and secure.",0.77,2025-12-28T10:03:00
R313,U226,P114,B1555,1,"Narrow entrance, difficult to park.",-0.61,2025-10-16T08:58:00
R314,U204,P127,B3640,5,Affordable pricing and close to metro station.,0.62,2025-12-27T10:11:00
R315,U180,P109,B287,4,Clean and well-lit parking area.,0.85,2026-01-21T15:31:00
R316,U234,P112,B2900,5,"Very convenient location, will book again.",0.87,2025-12-26T01:11:00
R317,U111,P114,B1799,4,"Very convenient location, will book again.",0.66,2025-10-27T07:32:00
R318,U170,P104,B184,3,"Decent parking, nothing special.",0.27,2025-10-08T10:26:00
R319,U129,P120,B3030,4,"Very convenient location, will book again.",0.67,2025-11-30T16:13:00
R320,U283,P128,B4101,3,"Decent parking, nothing special.",-0.06,2025-11-15T18:37:00
R321,U130,P123,B1665,4,"Very convenient location, will book again.",0.57,2025-11-27T17:38:00
R322,U239,P105,B5075,4,"Great parking spot, easy to find and secure.",0.72,2025-11-14T11:50:00
R323,U187,P112,B714,5,Affordable pricing and close to metro station.,0.54,2025-11-08T13:52:00
R324,U265,P108,B2631,5,"Great parking spot, easy to find and secure.",0.82,2025-11-07T23:42:00
R325,U255,P127,B2660,5,Clean and well-lit parking area.,0.86,2025-12-31T16:17:00
R326,U195,P114,B2718,1,"Slot was occupied when I arrived, had to wait.",-0.57,2025-10-24T18:39:00
R327,U190,P120,B5083,5,Clean and well-lit parking area.,0.9,2025-11-17T15:03:00
R328,U114,P117,B1678,2,Price was higher than what was listed.,-0.33,2025-12-12T20:15:00
R329,U279,P127,B2698,4,"Owner was helpful, smooth experience overall.",0.7,2025-10-22T07:48:00
R330,U293,P120,B4298,5,Clean and well-lit parking area.,0.54,2025-10-26T20:20:00
R331,U164,P121,B2689,3,"Average experience, would use again if nearby.",-0.01,2026-01-04T09:02:00
R332,U246,P128,B2912,5,Affordable pricing and close to metro station.,0.8,2026-01-04T17:13:00
R333,U237,P128,B3643,5,"Owner was helpful, smooth experience overall.",0.68,2026-01-09T18:33:00
R334,U247,P107,B2590,5,Clean and well-lit parking area.,0.81,2026-01-21T23:19:00
R335,U203,P105,B2266,3,"Average experience, would use again if nearby.",0.17,2026-01-20T18:55:00
R336,U112,P112,B113,3,"Decent parking, nothing special.",0.14,2025-10-14T21:16:00
R337,U145,P116,B1354,5,"Great parking spot, easy to find and secure.",0.57,2026-01-20T18:00:00
R338,U121,P102,B4250,4,"Great parking spot, easy to find and secure.",0.63,2025-11-08T21:52:00
R339,U290,P129,B2762,3,"Decent parking, nothing special.",0.05,2026-01-01T11:43:00
R340,U153,P132,B2557,4,"Owner was helpful, smooth experience overall.",0.87,2025-10-28T00:13:00
R341,U193,P105,B659,2,"Narrow entrance, difficult to park.",-0.49,2025-12-31T17:12:00
R342,U208,P124,B943,5,"Owner was helpful, smooth experience overall.",0.79,2025-11-14T14:05:00
R343,U286,P105,B4332,4,"Owner was helpful, smooth experience overall.",0.8,2025-11-04T10:12:00
R344,U254,P130,B4300,5,Clean and well-lit parking area.,0.73,2025-12-18T20:55:00
R345,U119,P114,B825,4,Clean and well-lit parking area.,0.52,2025-12-13T15:40:00
R346,U103,P121,B4617,5,Affordable pricing and close to metro station.,0.59,2025-10-10T10:37:00
R347,U284,P104,B1570,5,"Owner was helpful, smooth experience overall.",0.56,2025-11-26T00:01:00
R348,U127,P125,B1177,4,"Owner was helpful, smooth experience overall.",0.53,2025-11-14T21:44:00
R349,U293,P132,B2461,4,"Owner was helpful, smooth experience overall.",0.64,2025-11-08T15:41:00
R350,U247,P129,B1735,4,Clean and well-lit parking area.,0.85,2025-11-12T18:43:00
R351,U165,P116,B3922,5,Affordable pricing and close to metro station.,0.55,2025-10-16T08:40:00
R352,U229,P107,B2003,4,"Owner was helpful, smooth experience overall.",0.55,2026-01-22T19:18:00
R353,U205,P131,B252,5,Affordable pricing and close to metro station.,0.56,2025-10-20T17:18:00
R354,U117,P118,B1630,2,Price was higher than what was listed.,-0.74,2025-10-18T18:45:00
R355,U145,P104,B2841,5,Clean and well-lit parking area.,0.59,2025-12-24T23:19:00
R356,U139,P104,B1815,2,"Slot was occupied when I arrived, had to wait.",-0.89,2026-01-21T17:46:00
R357,U254,P111,B413,5,"Owner was helpful, smooth experience overall.",0.62,2025-12-17T05:34:00
R358,U236,P105,B4956,5,"Very convenient location, will book again.",0.95,2025-11-09T11:45:00
R359,U288,P127,B1200,4,"Owner was helpful, smooth experience overall.",0.65,2026-01-09T12:42:00
R360,U104,P109,B3223,5,Clean and well-lit parking area.,0.6,2026-01-26T08:32:00
R361,U110,P101,B4487,5,"Owner was helpful, smooth experience overall.",0.72,2025-10-10T00:44:00
R362,U297,P124,B3059,3,Okay for short-term parking.,-0.01,2025-10-15T09:28:00
R363,U276,P101,B3148,4,"Great parking spot, easy to find and secure.",0.75,2025-11-01T18:55:00
R364,U205,P115,B2107,5,Clean and well-lit parking area.,0.68,2025-12-17T12:45:00
R365,U140,P105,B3869,4,Clean and well-lit parking area.,0.9,2025-10-27T13:07:00
R366,U145,P130,B3685,3,"Decent parking, nothing special.",0.27,2025-11-11T15:48:00
R367,U171,P132,B1181,2,"Slot was occupied when I arrived, had to wait.",-0.47,2025-12-19T10:47:00
R368,U263,P118,B764,4,"Owner was helpful, smooth experience overall.",0.6,2026-01-09T09:20:00
R369,U228,P119,B3140,4,"Very convenient location, will book again.",0.71,2025-11-04T09:36:00
R370,U214,P132,B3107,2,App showed available but lot was full.,-0.72,2025-12-22T19:30:00
R371,U221,P110,B4255,4,Clean and well-lit parking area.,0.86,2025-11-25T20:56:00
R372,U241,P127,B1232,4,"Very convenient location, will book again.",0.51,2025-12-03T05:03:00
R373,U288,P119,B671,3,"Average experience, would use again if nearby.",0.16,2025-12-08T22:37:00
R374,U129,P102,B626,5,"Very convenient location, will book again.",0.65,2025-11-06T10:14:00
R375,U200,P112,B1249,4,"Great parking spot, easy to find and secure.",0.72,2025-11-14T01:40:00
R376,U128,P131,B514,5,Affordable pricing and close to metro station.,0.65,2025-11-23T10:33:00
R377,U269,P102,B2223,4,"Owner was helpful, smooth experience overall.",0.66,2025-11-15T15:48:00
R378,U185,P101,B213,4,Clean and well-lit parking area.,0.8,2026-01-01T17:57:00
R379,U276,P106,B3005,5,Affordable pricing and close to metro station.,0.77,2025-11-13T18:22:00
R380,U158,P111,B2415,4,"Owner was helpful, smooth experience overall.",0.61,2025-11-09T20:39:00
R381,U241,P131,B1046,5,Affordable pricing and close to metro station.,0.52,2025-11-01T19:01:00
R382,U102,P110,B1584,4,"Very convenient location, will book again.",0.89,2025-12-20T19:45:00
R383,U297,P118,B2744,4,"Owner was helpful, smooth experience overall.",0.72,2025-12-02T15:03:00
R384,U239,P119,B4701,4,"Owner was helpful, smooth experience overall.",0.78,2025-11-28T18:35:00
R385,U116,P112,B3526,5,"Great parking spot, easy to find and secure.",0.72,2025-10-29T19:48:00
R386,U162,P102,B3900,2,"Slot was occupied when I arrived, had to wait.",-0.53,2025-11-23T10:03:00
R387,U149,P118,B4827,5,Affordable pricing and close to metro station.,0.78,2026-01-16T13:00:00
R388,U102,P107,B2946,5,Clean and well-lit parking area.,0.51,2025-11-30T11:51:00
R389,U130,P101,B507,5,"Very convenient location, will book again.",0.74,2025-11-28T10:38:00
R390,U282,P111,B3774,4,Affordable pricing and close to metro station.,0.73,2025-10-29T18:43:00
R391,U178,P122,B1617,3,Okay for short-term parking.,-0.06,2025-11-10T20:56:00
R392,U201,P123,B752,1,Price was higher than what was listed.,-0.45,2025-10-31T02:21:00
R393,U288,P115,B3231,5,"Very convenient location, will book again.",0.61,2025-10-16T15:20:00
R394,U216,P111,B4208,3,"Average experience, would use again if nearby.",-0.08,2025-11-21T20:27:00
R395,U285,P114,B4859,3,"Decent parking, nothing special.",0.22,2025-11-12T20:02:00
R396,U273,P111,B2437,2,"Slot was occupied when I arrived, had to wait.",-0.38,2025-10-24T09:14:00
